History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,GPI - Group 1 Automotive,46.41,Add 28.07%,967000,$291.17,"$281,561,000",,$251.13,-13.75%,$246.21,$459.35
≡,EQH - Equitable Holdings Inc.,30.38,,4200000,$43.88,"$184,296,000",,$54.36,23.88%,$34.72,$55.06
≡,AIIR - Air Holdings Ltd,10.61,Buy,9666791,$6.66,"$64,381,000",,$7.88,18.32%,$5.29,$13.37
≡,MNDY - monday.com Ltd.,4.77,,400000,$72.39,"$28,956,000",,$86.81,19.92%,$57.50,$220.80
≡,RMNI - Rimini Street Inc.,4.15,,5913199,$4.26,"$25,190,000",,$4.35,2.11%,$2.87,$5.68
≡,SDHC - Smith Douglas Homes Corp,3.67,,1433350,$15.54,"$22,274,000",,$9.89,-36.36%,$9.79,$23.49
