History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,GOOGL - Alphabet Inc.,24.55,,2543300,$357.37,"$908,899,000",,$352.38,-1.40%,$235.23,$408.10
≡,GOOG - Alphabet Inc. CL C,23.39,,2451300,$353.33,"$866,118,000",,$347.92,-1.53%,$236.07,$403.96
≡,PDD - Pinduoduo Inc.,22.17,Add 133.53%,10761119,$76.28,"$820,858,000",,$79.95,4.81%,$71.94,$139.41
≡,BRK.B - Berkshire Hathaway CL B,14.98,Add 23.46%,1108318,$500.39,"$554,591,000",,$504.40,0.80%,$464.01,$537.74
≡,EWBC - East West Bancorp,9.68,,2776351,$129.09,"$358,399,000",,$126.14,-2.29%,$90.34,$137.47
≡,CROX - Crocs Inc.,2.89,,887093,$120.64,"$107,019,000",,$123.37,2.26%,$73.21,$141.28
≡,TME - Tencent Music Entertainment Grp,1.49,,6590836,$8.35,"$55,033,000",,$8.32,-0.36%,$7.70,$24.59
≡,AAPL - Apple Inc.,0.86,,110600,$289.36,"$32,003,000",,$341.34,17.96%,$239.33,$344.27
