History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,MOH - Molina Healthcare Inc.,43.49,Buy,125000,$191.36,"$23,920,000",,$200.80,4.93%,$121.06,$244.89
≡,LULU - Lululemon Athletica Inc.,32.35,Add 100.00%,100000,$177.93,"$17,793,000",,$98.39,-44.70%,$97.55,$225.98
≡,SLM - SLM Corp.,24.16,Buy,480054,$27.68,"$13,288,000",,$25.73,-7.04%,$17.46,$30.52
