ts_code,name,industry,level,close,pct_chg,vol_ratio,turnover_rate,mv_亿,pe_ttm,xueqiu_url,update_date
300911.SZ,亿田智能,家用电器,⚡ 创60日新高,30.24,4.3478,1.53,15.99,51.81,-,https://xueqiu.com/S/SZ300911,2026-09-02
600698.SH,湖南天雁,汽车配件,⚡ 创60日新高,7.68,4.2062,2.05,9.71,63.78,-,https://xueqiu.com/S/SH600698,2026-09-02
603819.SH,神力股份,电气设备,🏆 创一年(250日)新高,16.19,4.1828,1.81,5.09,35.25,110.4,https://xueqiu.com/S/SH603819,2026-09-02
003010.SZ,若羽臣,互联网,⚡ 创60日新高,32.21,4.1047,1.01,5.82,72.84,34.6,https://xueqiu.com/S/SZ003010,2026-09-02
301390.SZ,经纬股份,建筑工程,⚡ 创60日新高,34.56,4.0964,1.12,2.8,16.95,-,https://xueqiu.com/S/SZ301390,2026-09-02
920694.BJ,中裕科技,塑料,⚡ 创60日新高,17.39,4.0694,1.87,4.0,10.86,18.1,https://xueqiu.com/S/BJ920694,2026-09-02
688621.SH,阳光诺和,医疗保健,🔥 创半年(120日)新高,70.29,4.0101,1.67,5.44,78.72,158.6,https://xueqiu.com/S/SH688621,2026-09-02
920855.BJ,浙江大农,机床制造,⚡ 创60日新高,17.45,3.7455,4.22,14.61,11.7,59.0,https://xueqiu.com/S/BJ920855,2026-09-02
300025.SZ,华星创业,通信设备,🔥 创半年(120日)新高,6.1,3.7415,2.14,6.64,30.92,-,https://xueqiu.com/S/SZ300025,2026-09-02
920058.BJ,华洋赛车,摩托车,⚡ 创60日新高,30.29,3.7329,1.16,2.21,8.36,55.7,https://xueqiu.com/S/BJ920058,2026-09-02
300977.SZ,深圳瑞捷,建筑工程,⚡ 创60日新高,18.85,3.6854,1.33,6.02,17.87,165.9,https://xueqiu.com/S/SZ300977,2026-09-02
001210.SZ,金房能源,供气供热,⚡ 创60日新高,29.88,3.678,0.93,5.32,39.87,48.4,https://xueqiu.com/S/SZ001210,2026-09-02
002328.SZ,新朋股份,汽车配件,⚡ 创60日新高,9.18,3.6117,2.03,22.68,52.39,17.6,https://xueqiu.com/S/SZ002328,2026-09-02
300670.SZ,大烨智能,电气设备,⚡ 创60日新高,7.4,3.4965,1.51,7.86,16.63,-,https://xueqiu.com/S/SZ300670,2026-09-02
301287.SZ,康力源,文教休闲,⚡ 创60日新高,44.26,3.4112,1.25,7.61,7.54,57.1,https://xueqiu.com/S/SZ301287,2026-09-02
601996.SH,丰林集团,家居用品,⚡ 创60日新高,2.8,3.321,1.78,3.26,31.39,-,https://xueqiu.com/S/SH601996,2026-09-02
600371.SH,万向德农,种植业,🏆 创一年(250日)新高,14.42,3.2951,3.96,34.86,42.19,-,https://xueqiu.com/S/SH600371,2026-09-02
