ts_code,name,industry,close,amount,circ_mv
601112.SH,振石股份,玻璃,17.17,219843.902,313762.0045
301696.SZ,三瑞智能,电气设备,95.99,146425.93895,288770.5566
301683.SZ,慧谷新材,染料涂料,100.68,75489.57756,143627.0676
301682.SZ,宏明电子,元器件,119.97,450771.11945,308164.5396
301680.SZ,固德电材,汽车配件,106.78,152066.65009,189277.1602
301669.SZ,高特电子,电气设备,26.51,148539.27453,217083.7625
301666.SZ,大普微,IT设备,413.5,1658191.33669,1096449.005
301599.SZ,理奇智能,专用机械,33.3,112482.75061,182152.665
301531.SZ,春光集团,矿物制品,54.45,248717.87791,255281.7465
301513.SZ,尚水智能,专用机械,46.0,56787.1719,92685.4
001393.SZ,维通利,电气设备,43.2,124072.83716,207533.664
001365.SZ,天海电子,汽车配件,37.36,424473.64866,214840.9216
001312.SZ,福恩股份,纺织,18.36,80540.44165,104946.3108
001257.SZ,盛龙股份,小金属,23.44,153137.22896,321006.112
001237.SZ,惠康科技,电气设备,51.87,95542.06674,180798.072
001220.SZ,世盟股份,仓储物流,31.98,40704.83785,73785.855
689009.SH,九号公司,摩托车,38.21,247816.34,2148286.1412
920992.BJ,中科美菱,医疗保健,11.49,8453.33375,56320.8582
920985.BJ,海泰新能,电气设备,4.68,8840.90934,102640.758
920982.BJ,锦波生物,医疗保健,116.16,81757.87113,644282.6713
920981.BJ,晶赛科技,元器件,30.8,67428.57258,118465.1068
920978.BJ,开特股份,汽车配件,17.3,23091.74187,174617.46
920976.BJ,视声智能,通信设备,22.38,40551.93561,98739.6648
920974.BJ,凯大催化,化工原料,6.38,4765.38073,80052.5517
920971.BJ,天马新材,化工原料,27.77,80104.88837,237996.6812
920970.BJ,大禹生物,饲料,6.72,36904.55033,47087.9136
920964.BJ,润农节水,建筑工程,5.02,19152.71524,74144.013
920961.BJ,创远信科,电器仪表,21.15,97689.11082,237466.756
920957.BJ,汉维科技,化工原料,10.25,21131.0594,43772.3524
920953.BJ,国子软件,软件服务,23.26,36131.76669,139294.2615
920950.BJ,迅安科技,元器件,13.33,2005.68954,47614.8933
920946.BJ,森萱医药,化学制药,10.54,88131.75041,449833.5929
920943.BJ,优机股份,机械基件,15.04,15769.66424,77918.9808
920942.BJ,恒立钻具,机械基件,17.7,8463.46531,73304.5748
920932.BJ,科达自控,软件服务,10.56,8267.42687,91937.4984
920931.BJ,无锡鼎邦,化工机械,10.18,6321.00587,29293.7644
920926.BJ,鸿智科技,家用电器,10.01,5684.3858,80262.5614
920925.BJ,锦好医疗,医疗保健,11.46,9638.06189,63368.1307
920924.BJ,广脉科技,通信设备,14.88,27558.92262,97273.7458
920914.BJ,远航精密,小金属,16.68,13622.39044,166139.889
920906.BJ,舜宇精工,汽车配件,15.5,9128.91138,51701.3707
920896.BJ,旺成科技,汽车配件,12.42,6191.09172,55147.048
920895.BJ,花溪科技,农用机械,26.8,210325.92599,77014.892
920892.BJ,广咨国际,建筑工程,11.74,36994.24411,177100.8878
920885.BJ,星辰科技,电器仪表,12.4,16373.96784,109070.9282
920879.BJ,基康技术,电器仪表,12.39,9334.14849,185569.7642
920876.BJ,慧为智能,元器件,16.85,13400.37186,66133.2996
920873.BJ,中设咨询,建筑工程,7.51,49725.49111,89974.6026
920871.BJ,派特尔,塑料,11.25,7433.83099,52914.6101
920870.BJ,恒进感应,机床制造,11.68,8639.48309,77091.3872
920866.BJ,绿亨科技,农药化肥,6.68,25548.42513,76227.0157
920857.BJ,泓禧科技,元器件,19.23,7957.50719,142315.7533
920856.BJ,浩淼科技,专用机械,12.04,11249.74844,63884.2845
920855.BJ,浙江大农,机床制造,13.68,32913.44904,91706.4942
920839.BJ,万通液压,工程机械,23.6,11946.67917,153878.1266
920837.BJ,华原股份,汽车配件,10.2,21088.76464,139523.5427
920834.BJ,三维装备,塑料,9.35,8273.29452,58714.6705
920833.BJ,美心翼申,汽车配件,9.92,8013.4942,85949.8064
920832.BJ,齐鲁华信,化工原料,6.46,3551.03928,80017.1602
920826.BJ,盖世食品,食品,8.85,32649.23729,55891.4254
920821.BJ,则成电子,元器件,21.8,145158.71914,158820.46
920819.BJ,颖泰生物,农药化肥,3.08,13802.3481,373180.5
920810.BJ,春光智能,专用机械,8.92,11094.05667,55667.5301
920809.BJ,安达科技,电气设备,6.94,59142.29959,318620.3607
920808.BJ,曙光数创,IT设备,59.77,84926.66267,1164088.4216
920807.BJ,奔朗新材,机械基件,9.11,20580.35027,112554.8899
920806.BJ,云星宇,软件服务,10.14,18813.20479,304946.9803
920802.BJ,保丽洁,环境保护,10.93,4104.07533,39585.8827
920799.BJ,艾融软件,软件服务,32.78,165482.41112,393589.201
920792.BJ,东和新材,其他建材,9.45,4762.49867,96036.8894
920790.BJ,联迪信息,软件服务,24.23,78782.34367,131702.0632
920786.BJ,骑士乳业,乳制品,7.71,86537.58121,106437.6718
920781.BJ,瑞奇智造,专用机械,5.77,6328.07722,69451.3482
920779.BJ,武汉蓝电,电器仪表,23.67,19746.43519,47387.3447
920770.BJ,艾能聚,电气设备,10.74,36866.06147,87953.9412
920768.BJ,拾比佰,家用电器,7.26,7481.66192,77964.7893
920765.BJ,美之高,家居用品,11.86,15356.96363,62629.2253
920753.BJ,天纺标,纺织,15.25,7040.12626,49882.2163
920751.BJ,惠同新材,小金属,15.01,7840.53801,124683.7546
920748.BJ,路桥信息,软件服务,29.77,68828.40207,209491.7877
920735.BJ,德源药业,化学制药,26.02,100606.55403,296973.9463
920729.BJ,永顺生物,农业综合,6.85,4760.93326,53092.3231
920726.BJ,朱老六,食品,15.89,27947.1201,88846.48
920725.BJ,惠丰钻石,矿物制品,91.85,424640.68454,405799.5917
920720.BJ,吉冈精密,机械基件,8.06,14801.61138,59657.8414
920719.BJ,宁新新材,化工原料,7.11,8140.91456,52857.6327
920718.BJ,合肥高科,家用电器,10.87,9477.66837,50556.445
