date,ts_code,adj_close
20260706,000017.SZ,16.17849
20260706,000048.SZ,220.73474
20260706,000300.SH,4841.998
20260706,000571.SZ,52.22518000000001
20260706,000608.SZ,66.9725
20260706,000636.SZ,1052.0757
20260706,000691.SZ,46.452074
20260706,000703.SZ,150.64783799999998
20260706,000725.SZ,42.495312
20260706,000739.SZ,253.821308
20260706,000811.SZ,1138.500544
20260706,000938.SZ,238.393008
20260706,001229.SZ,52.388005
20260706,001258.SZ,7.1778
20260706,001331.SZ,230.589216
20260706,002084.SZ,11.88024
20260706,002141.SZ,45.53335
20260706,002156.SZ,186.6276
20260706,002167.SZ,188.14446
20260706,002185.SZ,211.192516
20260706,002303.SZ,55.852368
20260706,002317.SZ,334.28369
20260706,002346.SZ,47.37432
20260706,002371.SZ,5193.82752
20260706,002396.SZ,113.909796
20260706,002409.SZ,608.8151849999999
20260706,002412.SZ,49.43006999999999
20260706,002415.SZ,824.2645669999999
20260706,002422.SZ,349.975452
20260706,002440.SZ,66.11271699999999
20260706,002484.SZ,480.941285
20260706,002528.SZ,29.25576
20260706,002552.SZ,188.835212
20260706,002636.SZ,264.507712
20260706,002674.SZ,40.803666
20260706,002747.SZ,285.98439
20260706,002768.SZ,259.7322
20260706,002774.SZ,20.653401
20260706,002821.SZ,492.11939
20260706,002832.SZ,125.79823600000002
20260706,002860.SZ,67.43039999999999
20260706,002971.SZ,86.26328299999999
20260706,003004.SZ,75.29648
20260706,003032.SZ,5.37675
20260706,003036.SZ,87.85502
20260706,300083.SZ,118.4297
20260706,300192.SZ,66.281085
20260706,300209.SZ,98.45211
20260706,300234.SZ,64.41120000000001
20260706,300285.SZ,1119.3986
20260706,300313.SZ,17.898410000000002
20260706,300404.SZ,45.318546000000005
20260706,300408.SZ,631.662264
20260706,300419.SZ,54.6061
20260706,300420.SZ,85.39739999999999
20260706,300483.SZ,34.82773
20260706,300489.SZ,787.5966
20260706,300506.SZ,38.794316
20260706,300534.SZ,27.06208
20260706,300540.SZ,84.778104
20260706,300566.SZ,116.885178
20260706,300567.SZ,831.43183
20260706,300604.SZ,2121.7376
20260706,300666.SZ,333.82211800000005
20260706,300671.SZ,187.7572
20260706,300677.SZ,268.9344
20260706,300684.SZ,254.139914
20260706,300716.SZ,44.24589
20260706,300721.SZ,60.960465000000006
20260706,300759.SZ,71.8256
20260706,300835.SZ,312.9891
20260706,300843.SZ,153.7431
20260706,300862.SZ,27.17946
20260706,300903.SZ,169.50650000000002
20260706,300907.SZ,59.32325
20260706,300929.SZ,22.188188
20260706,300951.SZ,113.19631400000002
20260706,300985.SZ,70.52115
20260706,301008.SZ,57.556565000000006
20260706,301013.SZ,86.642829
20260706,301045.SZ,93.756662
20260706,301047.SZ,156.2784
20260706,301072.SZ,39.830784
20260706,301080.SZ,113.12272
20260706,301092.SZ,55.40766000000001
20260706,301108.SZ,39.14029
20260706,301122.SZ,42.005856
20260706,301165.SZ,209.2632
